page_number,cleaned_text,sentence_count,entity_count
35,"system after injection of a contrast medium into a vein.Doppler ultrasonography evaluates the peripheral vascular system andassesses peripheral artery disease (PAD) when combined with sequentialsystolic blood pressure readings.Endomyocardial biopsy can detect cardiomyopathy, infiltrative myocardialdiseases, and, most often, transplant rejection.Electrophysiologic studies help diagnose conduction system disease andserious arrhythmias. Electronic induction and termination of arrhythmias aiddrug selection. Endocardial mapping detects an arrhythmia s focus using afinger electrode. Epicardial mapping uses a computer and a devicecontaining electrodes that s slipped over the heart to detect arrhythmias.Magnetic resonance imaging (MRI) can investigate cardiac structure andfunction. Positron emission tomography and magnetic resonancespectroscopy are used to assess myocardial metabolism.Electron-beam computed tomography, also known as ultrafast computedtomography, is used to detect microcalcifications in the coronary arteries andcan give a coronary calcium score. This test is useful for identifying earlycoronary artery disease (CAD).Blood tests Cardiac enzymes (cellular proteins released into blood after cell membraneinjury) confirm acute myocardial infarction (MI) or severe cardiac trauma.All cardiac enzymes creatine kinase (CK), lactate dehydrogenase, andaspartate aminotransferase, for example are also found in other cells.Fractionation of enzymes can determine the source of damaged cells. Forexample, three fractions of CK are isolated, one of which (an isoenzymecalled CK-MB) is found only in cardiac cells. CK-MB in the blood indicatesinjury to myocardial cells.Measurement of a cardiac protein called troponin is the most precise wayto determine whether a patient has experienced an MI. Some 6 hours after an MI, a blood test can detect two forms of troponin: T and I. Troponin T levelspeak about 2 days after an MI and retum to normal about 16 days later.Troponin I levels reach their peak in less than 1 day after an MI and retum tonormal in about 7 days.MANAGING CARDIOVASCULAR DISEASE",9,98
36,"Patients with cardiovascular disease pose a tremendous challenge. Theirsheer numbers alone compel a thorough understanding of cardiovascularanatomy, physiology, and pathophysiology. Anticipate a high anxiety level incardiac patients, and provide support and reassurance, especially duringprocedures such as cardiac catheterization.Cardiac rehabilitation programs are widely prescribed and offer educationand support along with exercise instruction. Rehabilitation programs begin inhealthcare facilities and continue on an outpatient basis. Helping the patientresume a satisfying lifestyle requires planning and comprehensive teaching.Inform the patient about healthcare facilities and organizations that offercardiac rehabilitation programs.Congenital Acyanotic Defects VENTRICULAR SEPTAL DEFECTCauses and Incidence In ventricular septal defect (VSD), the most common congenital heartdisorder, an opening in the septum between the ventricles allows blood toshunt between the left and the right ventricles. This disease accounts for up to30 of all congenital heart defects. Although most children with congenitalheart defects are otherwise normal, in some, VSD coexists with additionalbirth defects, especially Down syndrome and other autosomal trisomies,renal anomalies, and such cardiac defects as patent ductus arteriosus (PDA)and coarctation of the aorta. VSDs are located in the membranous ormuscular portion of the ventricular septum and vary in size. Some defectsclose spontaneously; in other defects, the entire septum is absent, creating asingle ventricle. The prognosis is good for defects that close spontaneouslyor are correctable surgically but poor for untreated defects, which aresometimes fatal by age 1, usually from secondary complications. Less than1 of neonates are bom with VSD. In 80 to 90 of neonates who are bomwith this disorder, the hole is small and will usually close spontaneously. Inthe remaining 10 to 20 of neonates, surgery is needed to close the hole.(See Understanding ventricular septal defect, page 7.)",14,92
37,"Understanding Ventricular Septal Defect A ventricular septal defect (VSD), the most common type of congenitaldisorder, is an abnormal opening between the right and left ventricles thatallows blood to shunt between them. Not always readily apparent atbirth, the defect can be small and may close spontaneously. The septummay be entirely absent, resulting in a single ventricle. A large, untreateddefect can cause right ventricular hypertrophy, pulmonary hypertension,and heart failure. VSD is classified as an increased pulmonary bloodflow defect.Aorta To right , To leftlung b lung Pulmonaryartery Left Vena .ventriclecava Right ventricle Ventricularseptal defect Pathophysiology",5,28
38,"In neonates with VSD, the ventricular septum fails to close completely by theeighth week of gestation, as it would normally.VSD isn t readily apparent at birth, because right and left ventricularpressures are about equal, so blood doesn t shunt through the defect. As thepulmonary vasculature gradually relaxes, 4 to 8 weeks after birth, rightventricular pressure decreases, allowing blood to shunt from the left to theright ventricle. In small or restrictive defects, right ventricle pressure is onlyslightly elevated, while pulmonary artery pressures (PAPs) and peripheralvascular resistance (PVR) remain normal. In moderate defects, the size of thedefect determines the magnitude of the shunt. When right ventricular pressuredecreases, the left atrium and ventricle may become fluid overloaded.Because large defects do not meet a lot of flow resistance, the pressure of theventricles is equal at first. As PVR decreases, volume increases to thepulmonary system, in tum increasing the volume of the left ventricle. This, intum, can create left ventricular dilation, followed by increased left atrialpressure and pulmonary venous pressure.Complications Right arterial and ventricular hypertrophy Heart failure Pulmonary hypertension Signs and Symptoms Clinical features of VSD vary with the defect s size, the shunting s effect onthe pulmonary vasculature, and the infant s age. In a small VSD, shunting isminimal, and PAP and heart size remain normal. Such defects may eventuallyclose spontaneously without ever causing symptoms.Initially, large VSD shunts cause left atrial and left ventricularhypertrophy. Later, an uncorrected VSD will cause right ventricularhypertrophy due to increasing pulmonary vascular resistance. Eventually,biventricular heart failure and cyanosis (from reversal of shunt direction)occur. Resulting cardiac hypertrophy may make the anterior chest wallprominent. A large VSD increases the risk of pneumonia.Infants with large VSDs are thin and small and gain weight slowly. Theymay develop heart failure with dusky skin; liver, heart, and spleenenlargement because of systemic venous congestion; diaphoresis; feeding",14,115
39,"difficulties; rapid, grunting respirations; and increased heart rate. They mayalso develop severe pulmonary hypertension. Fixed pulmonary hypertensionmay occur much later in life with right-to-left shunt (Eisenmenger syndrome),causing cyanosis and clubbing of the nail beds.The typical murmur associated with a VSD is blowing or rumbling andvaries in frequency. In the neonate, a moderately loud early systolic murmurmay be heard along the lower left stemal border. About the second or thirdday after birth, the murmur may become louder and longer. In infants, themurmur may be loudest near the heart s base and may suggest pulmonarystenosis (PS). A small VSD may produce a functional murmur or acharacteristic loud, harsh systolic murmur. Larger VSDs produce audiblemurmurs (at least a grade 3 pansystolic), loudest at the fourth intercostal space, usuallywith a thrill; however, a large VSD with minimal pressure gradient may haveno audible murmur. In addition, the pulmonic component of S, sounds loudand is widely split. Palpation reveals displacement of the point of maximalimpulse to the left. When fixed pulmonary hypertension is present, a diastolicmurmur may be audible on auscultation, the systolic murmur becomes quieter,and S, is greatly accentuated.Diagnosis Diagnostic findings include: Chest X-ray is normal in small defects; in large VSDs, it showscardiomegaly, left atrial and left ventricular enlargement, and prominentpulmonary vascular markings.ECG is normal in children with small VSDs; in large VSDs, it shows leftand right ventricular hypertrophy, suggesting pulmonary hypertension.Echocardiography may detect a large VSD and its location in the septum,estimate the size of a left-to-right shunt, suggest pulmonary hypertension,and identify associated lesions and complications.CONFIRMING DIAGNOSIS Cardiac catheterization determines the VSD ssize and exact location, calculates the degree of shunting bycomparing the blood oxygen saturation in each ventricle, determines theextent of pulmonary hypertension, and detects associated defects.Treatment",11,103
40,"In mild cases, no treatment is needed, although the infant should be closelyfollowed to make sure that the hole closes properly as the infant grows.Large defects usually require early surgical correction before heart failureand irreversible pulmonary vascular disease develop.For small defects, surgery consists of simple suture closure. Moderate tolarge defects require insertion of a patch graft, using cardiopulmonarybypass. In patients with heart failure, digoxin and diuretics may beprescribed to control symptoms. In patients who develop increasedpulmonary resistance and irreversible pulmonary vascular changes thatproduce a reversible right-to-left shunt (Eisenmenger syndrome), a heart lung transplant may be required.If the child has other defects and will benefit from delaying surgery,pulmonary artery banding normalizes pressures and flow distal to the bandand prevents pulmonary vascular disease, allowing postponement of surgery.(Pulmonary artery banding is done only when the child has othercomplications.) A rare complication of VSD repair is complete heart blockfrom interference with the bundle of His during surgery. (Heart block mayrequire temporary or permanent pacemaker implantation.)Before surgery, treatment consists of: digoxin, sodium restriction, and diuretics to prevent heart failure careful monitoring by physical examination, X-ray, and ECG to detectincreased pulmonary hypertension, which indicates a need for earlysurgerymeasures to prevent infection (prophylactic antibiotics, e.g., to preventinfective endocarditis)Generally, postoperative treatment includes a brief period of mechanicalventilation. The patient will need analgesics and may also require diureticsto increase urine output, continuous infusions of nitroprusside or adrenergicagents to regulate blood pressure and cardiac output and, in rare cases, atemporary pacemaker.Special Considerations Although the parents of an infant with VSD often suspect something is wrongwith their child before diagnosis, they need psychological support to helpthem accept the reality of a serious cardiac disorder. Because surgery maytake place months after diagnosis, parent teaching is vital to prevent",10,106
41,"complications until the child is scheduled for surgery or the defect closes.Thorough explanations of all tests are also essential. Instruct parents to watch for signs of heart failure, such as poor feeding,sweating, and heavy breathing. If the child is receiving digoxin or other medications, tell the parents howto give it and how to recognize adverse effects. Caution them to keepmedications out of the reach of all children. Teach parents to recognize and report early signs of infection and to avoidexposing the child to people with obvious infections. Encourage parents to let the child engage in normal activities. Tell parents to follow up with their pediatrician. Also tell them that childlife therapy may be appropriate if their child displays delayed growth anddevelopment or failure to thrive. Stress the importance of prophylactic antibiotics before and after surgery.After surgery to correct VSD: Monitor vital signs and intake and output. Maintain the infant s bodytemperature with an overbed warmer. Give catecholamines, nitroprusside,and diuretics, as ordered; analgesics as needed. Monitor central venous pressure (CVP), intra-arterial blood pressure, andleft atrial or PAP readings. Assess heart rate and rhythm for signs ofconduction block.Check oxygenation, particularly in a child who requires mechanicalventilation. Suction to maintain a patent airway and to prevent atelectasisand pneumonia, as needed.Monitor pacemaker effectiveness if needed. Watch for signs of failure,such as bradycardia and hypotension. Reassure parents and allow them to participate in their child s care.ATRIAL SEPTAL DEFECTCauses and Incidence In an atrial septal defect (ASD), an opening between the left and the rightatria allows shunting of blood between the chambers. Ostium secundumdefect (most common) occurs in the region of the fossa ovalis andoccasionally extends inferiorly, close to the vena cava; sinus venosus defectoccurs in the superior posterior portion of the atrial septum, sometimes",17,104
42,"extending into the vena cava, and is almost always associated with abnormaldrainage of pulmonary veins into the right atrium; ostium primum defectoccurs in the inferior portion of the septum primum and is usually associatedwith atrioventricular valve abnormalities (cleft mitral valve) and conduction defects. Thecause of ASD is unknown.ASD accounts for about 6 to 8 of congenital heart defects and appearsalmost twice as often in females as in males, with a strong familial tendency.Although ASD is usually a benign defect during infancy and childhood,delayed development of symptoms and complications makes it one of themost common congenital heart defects diagnosed in adults. ASD is present in4 of every 100,000 people. Symptoms usually develop before age 30. Whenno other congenital defect exists, the patient especially if a child may beasymptomatic. The prognosis is excellent in asymptomatic patients but poorin those with cyanosis caused by large, untreated defects. (See Understanding atrial septal defect.)Understanding Atrial Septal Defect An atrial septal defect (ASD) is an abnormal opening between the leftand the right atria. A small opening may cause few symptoms. However,if the opening is large, higher pressure in the left atrium can shunt largeamounts of blood into the right atrium, which can result in right heartvolume overload, right atrial and ventricular enlargement, and pulmonaryhypertension. ASD is classified as an increased pulmonary blood flowdefect and is one of the most common congenital heart defects.",11,70
43,"Atrial septaldefect Aorta Pulmonaryartery Left Right atriumatrium Pathophysiology In this condition, blood shunts from left to right because left atrial pressurenormally is slightly higher than right atrial pressure; this pressure differenceforces large amounts of blood through a defect. The left-to-right shunt resultsin right heart volume overload, affecting the right atrium, right ventricle, andpulmonary arteries. Eventually, the right atrium enlarges, and the rightventricle dilates to accommodate the increased blood volume. If pulmonaryartery hypertension develops because of the shunt (rare in children),increased pulmonary vascular resistance and right ventricular hypertrophywill follow. In some adult patients, irreversible (fixed) pulmonary arteryhypertension causes reversal of the shunt direction, which results inunoxygenated blood entering the systemic circulation, causing cyanosis.",5,35
44,"Complications Unoxygenated blood in systemic circulation Right and left ventricular hypertrophy Atrial arrhythmias Heart failure Emboli Signs and Symptoms ASD commonly goes undetected in preschoolers; such children maycomplain about feeling tired only after extreme exertion and may havefrequent respiratory tract infections but otherwise appear normal and healthy.However, children with large shunts may show growth retardation. Childrenwith ASD seldom develop heart failure, pulmonary hypertension, infectiveendocarditis, or other complications. However, as adults, they usuallymanifest pronounced symptoms, such as fatigability and dyspnea on exertion,frequently to the point of severe limitation of activity (especially after age40).In children, auscultation reveals an early to midsystolic murmur,superficial in quality, heard at the second or third left intercostal space. In patients withlarge shunts (resulting from increased tricuspid valve flow), a low-pitcheddiastolic murmur is heard at the lower left stemal border, which becomesmore pronounced on inspiration. Although the murmur s intensity is a roughindicator of the size of the left-to-right shunt, its low pitch sometimes makesit difficult to hear and, if the pressure gradient is relatively low, a murmurmay not be detectable. Other signs include a fixed, widely split S,, caused bydelayed closure of the pulmonic valve, and a systolic click or late systolicmurmur at the apex, resulting from mitral valve prolapse (MVP), whichoccasionally affects older children with ASD.In older patients with large, uncorrected defects and fixed pulmonaryartery hypertension, auscultation reveals an accentuated S,. A pulmonaryejection click and an audible S, may also be present. Clubbing and cyanosisbecome evident; syncope and hemoptysis may occur with severe pulmonaryvascular disease.Diagnosis",8,90
45,"A history of increasing fatigue and characteristic physical features suggest ASD. The following findings confirm it:Chest X-ray shows an enlarged right atrium and right ventricle, aprominent pulmonary artery, and increased pulmonary vascular markings. ECG may be normal but usually shows right axis deviation, prolonged PRinterval, varying degrees of right bundle branch block, right ventricularhypertrophy, atrial fibrillation (particularly in severe cases after age 30)and, in ostium primum defect, left axis deviation. Echocardiography measures right ventricular enlargement, may locate thedefect, and shows volume overload in the right side of the heart. (Othercauses of right ventricular enlargement must be ruled out.)CONFIRMING DIAGNOSIS Two-dimensional echocardiography with color Doppler flow, contrast echocardiography, or both have supplantedcardiac catheterization as the confirming tests for ASD. Cardiaccatheterization is used if inconsistencies exist in the clinical data or ifsignificant pulmonary hypertension is suspected.Treatment Operative repair is advised for all patients with uncomplicated ASD withevidence of significant left-to-right shunting. Ideally, this is performed whenthe patient is between ages 2 and 4. Operative treatment shouldn t beperformed in patients with small defects and trivial left-to-right shunts.Because ASD seldom produces complications in infants and toddlers,surgery can be delayed until they reach preschool or early school age. Alarge defect may need immediate surgical closure with sutures or a patchgraft.Physicians have developed a new procedure, referred to as catheterclosure or transcatheter closure of the ASD, that uses wires or catheters toclose ASD without surgery. In this procedure, the surgeon makes a tinyincision in the groin to introduce the catheters, then advances the cathetersinto the heart, and places the closure device across the ASD. This proceduremay not be applicable to all patients.Special Considerations",12,97
46,"Before cardiac catheterization, explain pretest and posttest procedures tothe child and her parents. If possible, use drawings or other visual aids toexplain it to the child. As needed, teach the patient about prophylactic antibiotics to preventinfective endocarditis. (They may be administered before dental or otherinvasive procedures.) Ifsurgery is scheduled, teach the child and his or her parents about theintensive care unit (ICU) and introduce them to the staff. Show parentswhere they can wait during the operation. Explain postoperativeprocedures, tubes, dressings, and monitoring equipment. After surgery, closely monitor the patient s vital signs, central venous andintra-arterial pressures, and intake and output. Watch for atrialarrhythmias, which may remain uncorrected.COARCTATION OF THE AORTACauses and Incidence Coarctation is a narrowing of the aorta, usually just below the left subclavianartery, near the site where the ligamentum arteriosum (the remnant of theductus arteriosus, a fetal blood vessel) joins the pulmonary artery to theaorta. Coarctation may occur with aortic valve stenosis (usually of abicuspid aortic valve) and with severe cases of hypoplasia of the aortic arch,PDA, and VSD. This is typically sporadic and without clear cause beforethis condition induces severe systemic hypertension or degenerative changesin the aorta. (See Understanding coarctation of the aorta.)Understanding Coarctation of the Aorta Coarctation is a narrowing of the aorta, usually just below the leftsubclavian artery, near the site where the ligamentum arteriosum joins thepulmonary artery to the aorta. It can result from spasm and constriction ofthe smooth muscle in the ductus arteriosus as it closes. Restricted bloodflow through the narrow aorta increases the pressure load on the leftventricle, resulting in dilation of the proximal aorta, left ventricularhypertrophy, elevated upper body blood pressures, and diminished bloodflow to the lower body. The ductus arteriosus may be open or closed.",16,95
47,"Coarctation of the aorta is more common in boys and is the leading causeof heart failure in the first few months of life. It s classified as anobstruction to blood flow leaving the heart.Aorta Normallyclosed Coarctationductus . of aortaarteriosus Pulmonaryartery Coarctation of the aorta occurs in 4 of every 10,000 people bom each yearin the United States and is usually diagnosed in children or adults youngerthan age 40. It accounts for about 4 to 6 of all congenital heart defects inchildren and is twice as common in males as in females. When it occurs infemales, it s commonly associated with Tumer syndrome, a chromosomaldisorder that causes ovarian dysgenesis. Generally, the prognosis forcoarctation of the aorta depends on the severity of associated cardiacanomalies; the prognosis for isolated coarctation is good if correctivesurgery is performed.",6,41
